conn_#,host_a,host_b,port_a,port_b,first_packet,last_packet,total_packets_a2b,total_packets_b2a,resets_sent_a2b,resets_sent_b2a,ack_pkts_sent_a2b,ack_pkts_sent_b2a,pure_acks_sent_a2b,pure_acks_sent_b2a,sack_pkts_sent_a2b,sack_pkts_sent_b2a,dsack_pkts_sent_a2b,dsack_pkts_sent_b2a,max_sack_blks/ack_a2b,max_sack_blks/ack_b2a,unique_bytes_sent_a2b,unique_bytes_sent_b2a,actual_data_pkts_a2b,actual_data_pkts_b2a,actual_data_bytes_a2b,actual_data_bytes_b2a,rexmt_data_pkts_a2b,rexmt_data_pkts_b2a,rexmt_data_bytes_a2b,rexmt_data_bytes_b2a,zwnd_probe_pkts_a2b,zwnd_probe_pkts_b2a,zwnd_probe_bytes_a2b,zwnd_probe_bytes_b2a,outoforder_pkts_a2b,outoforder_pkts_b2a,pushed_data_pkts_a2b,pushed_data_pkts_b2a,SYN/FIN_pkts_sent_a2b,SYN/FIN_pkts_sent_b2a,req_1323_ws/ts_a2b,req_1323_ws/ts_b2a,adv_wind_scale_a2b,adv_wind_scale_b2a,req_sack_a2b,req_sack_b2a,sacks_sent_a2b,sacks_sent_b2a,urgent_data_pkts_a2b,urgent_data_pkts_b2a,urgent_data_bytes_a2b,urgent_data_bytes_b2a,mss_requested_a2b,mss_requested_b2a,max_segm_size_a2b,max_segm_size_b2a,min_segm_size_a2b,min_segm_size_b2a,avg_segm_size_a2b,avg_segm_size_b2a,max_win_adv_a2b,max_win_adv_b2a,min_win_adv_a2b,min_win_adv_b2a,zero_win_adv_a2b,zero_win_adv_b2a,avg_win_adv_a2b,avg_win_adv_b2a,initial_window_bytes_a2b,initial_window_bytes_b2a,initial_window_pkts_a2b,initial_window_pkts_b2a,ttl_stream_length_a2b,ttl_stream_length_b2a,missed_data_a2b,missed_data_b2a,truncated_data_a2b,truncated_data_b2a,truncated_packets_a2b,truncated_packets_b2a,data_xmit_time_a2b,data_xmit_time_b2a,idletime_max_a2b,idletime_max_b2a,hardware_dups_a2b,hardware_dups_b2a,throughput_a2b,throughput_b2a,RTT_samples_a2b,RTT_samples_b2a,RTT_min_a2b,RTT_min_b2a,RTT_max_a2b,RTT_max_b2a,RTT_avg_a2b,RTT_avg_b2a,RTT_stdev_a2b,RTT_stdev_b2a,RTT_from_3WHS_a2b,RTT_from_3WHS_b2a,RTT_full_sz_smpls_a2b,RTT_full_sz_smpls_b2a,RTT_full_sz_min_a2b,RTT_full_sz_min_b2a,RTT_full_sz_max_a2b,RTT_full_sz_max_b2a,RTT_full_sz_avg_a2b,RTT_full_sz_avg_b2a,RTT full_sz_stdev_a2b,RTT_full_sz_stdev_b2a,post-loss_acks_a2b,post-loss_acks_b2a,ambiguous_acks_a2b,ambiguous_acks_b2a,RTT_min_(last)_a2b,RTT_min_(last)_b2a,RTT_max_(last)_a2b,RTT_max_(last)_b2a,RTT_avg_(last)_a2b,RTT_avg_(last)_b2a,RTT_sdv_(last)_a2b,RTT_sdv_(last)_b2a,segs_cum_acked_a2b,segs_cum_acked_b2a,duplicate_acks_a2b,duplicate_acks_b2a,triple_dupacks_a2b,triple_dupacks_b2a,max_#_retrans_a2b,max_#_retrans_b2a,min_retr_time_a2b,min_retr_time_b2a,max_retr_time_a2b,max_retr_time_b2a,avg_retr_time_a2b,avg_retr_time_b2a,sdv_retr_time_a2b,sdv_retr_time_b2a,

10,10.0.0.1,10.0.1.1,47226,80,1693943128.34197 , 1693943128.509204 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          165.7,          166.5,              0,              0,            293,           1025,              3,              3,          150.0,            0.0,          165.7,            0.0,          157.9,            0.0,            7.8,            0.0,          150.0,            0.0,              2,              2,          150.0,            0.0,          165.7,            0.0,          157.8,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
11,10.0.0.1,10.0.1.1,47234,80,1693943128.145405 , 1693943128.638434 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          172.2,          173.0,              0,              0,            282,            988,              3,              3,          155.5,            0.0,          172.2,            0.0,          163.9,            0.0,            8.4,            0.0,          155.5,            0.0,              2,              2,          155.5,            0.0,          172.2,            0.0,          163.8,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
12,10.0.0.1,10.0.1.1,47244,80,1693943128.158702 , 1693943128.654142 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          172.9,          173.6,              0,              0,            281,            983,              3,              3,          156.9,            0.0,          172.9,            0.0,          164.7,            0.0,            8.0,            0.0,          156.9,            0.0,              2,              2,          156.9,            0.0,          172.9,            0.0,          164.9,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
13,10.0.0.1,10.0.1.1,47254,80,1693943128.242167 , 1693943128.750741 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          177.9,          178.7,              0,              0,            273,            958,              3,              3,          160.6,            0.0,          177.9,            0.0,          169.1,            0.0,            8.6,            0.0,          160.6,            0.0,              2,              2,          160.6,            0.0,          177.9,            0.0,          169.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
14,10.0.0.1,10.0.1.1,47256,80,1693943128.435820 , 1693943128.974738 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          188.2,          189.0,              0,              0,            258,            904,              3,              3,          170.3,            0.0,          188.1,            0.0,          179.2,            0.0,            8.9,            0.0,          170.3,            0.0,              2,              2,          170.3,            0.0,          188.1,            0.0,          179.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
15,10.0.0.1,10.0.1.1,47260,80,1693943128.969364 , 1693943129.592239 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          217.4,          218.2,              0,              0,            223,            782,              3,              3,          197.1,            0.0,          217.4,            0.0,          207.2,            0.0,           10.2,            0.0,          197.1,            0.0,              2,              2,          197.1,            0.0,          217.4,            0.0,          207.2,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
16,10.0.0.1,10.0.1.1,47274,80,1693943129.172775 , 1693943129.828322 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          229.0,          229.8,              0,              0,            212,            743,              3,              3,          207.3,            0.0,          229.0,            0.0,          218.1,            0.0,           10.9,            0.0,          207.3,            0.0,              2,              2,          207.3,            0.0,          229.0,            0.0,          218.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
17,10.0.0.1,10.0.1.1,47284,80,1693943129.406165 , 1693943130.97556 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          241.6,          242.4,              0,              0,            201,            704,              3,              3,          218.6,            0.0,          241.6,            0.0,          230.0,            0.0,           11.5,            0.0,          218.6,            0.0,              2,              2,          218.6,            0.0,          241.6,            0.0,          230.1,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
18,10.0.0.1,10.0.1.1,47294,80,1693943129.449419 , 1693943130.148201 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          244.3,          245.1,              0,              0,            199,            697,              3,              3,          221.2,            0.0,          244.3,            0.0,          232.5,            0.0,           11.6,            0.0,          221.2,            0.0,              2,              2,          221.2,            0.0,          244.3,            0.0,          232.7,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
19,10.0.0.1,10.0.1.1,47308,80,1693943129.503552 , 1693943130.210329 ,              6,              4,              0,              0,              5,              4,              3,              1,              0,              0,              0,              0,              0,              0,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,              0,              0,              0,              0,              1,              1,            1/1,            1/1,            Y/Y,            Y/Y,             12,             12,              Y,              Y,              0,              0,              0,              0,              0,              0,           1460,           1460,            139,            487,            139,            487,            138,            486,          69632,          69632,          65536,          69632,              0,              0,          67993,          69632,            139,            487,              1,              1,            139,            487,              0,              0,              0,              0,              0,              0,          0.000,          0.000,          247.0,          247.8,              0,              0,            197,            689,              3,              3,          223.7,            0.0,          247.0,            0.0,          235.2,            0.0,           11.6,            0.0,          223.7,            0.0,              2,              2,          223.7,            0.0,          247.0,            0.0,          235.4,            0.0,            0.0,            0.0,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,              0,              0,              0,              1,              0,              0,              0,              0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,            0.0,
